,created_at,text,full_text
224,Thu Jan 03 00:13:03 +0000 2019,Pembunuhan Sadis di Siak Dipicu Sakit Hati Hanya Dibantu Rp 5 Juta untuk Nikah - https://t.co/onOtdtaPZHâ¦ https://t.co/MiRUGbigRv,Pembunuhan Sadis di Siak Dipicu Sakit Hati Hanya Dibantu Rp 5 Juta untuk Nikah - https://t.co/onOtdtaPZH https://t.co/gzLCemsgMF https://t.co/OmDcDaGyVK
225,Sun Sep 20 11:11:02 +0000 2015,@iskan_dahlan @cutmeichy @ulixpresi @Kota_Pekanbaru apa khabar pak semoga sehat selalu,
226,Thu Mar 24 14:37:08 +0000 2016,"Di Pekanbaru 313 orang terjangkit DBD sejak awal 2016: Dinas Kesehatan Kota Pekanbaru, Provinsi Riau mengungka... https://t.co/XQl519X167",
227,Tue Feb 28 07:45:41 +0000 2017,Tahun Depan RSUD Kota Pekanbaru Rekrut Tenaga Medis https://t.co/roA36M0F5s â¢ Hallo Riau,
228,Tue Feb 18 19:32:00 +0000 2014,Waduh! Kualitas Udara Kota Pekanbaru Tidak Sehat http://t.co/GUHjHx0UVO,
229,Thu Nov 20 13:51:34 +0000 2014,"Pekanbaru siagakan Puskesmas antisipasi banjir: Dinas Kesehatan Kota Pekanbaru, Provinsi Riau, telah menyiagak... http://t.co/pdRCWpAR43",
230,Fri Jul 15 09:27:08 +0000 2016,Wali Kota Pekanbaru Minta Pelayanan Rumah Sakit Lebih Ditingkatkan https://t.co/mWaJUJmTpy #Riau https://t.co/MFYB8LYT6J,
231,Mon Feb 09 06:56:07 +0000 2015,Walikota Pekabaru Hadiri Pengobatan Gratis BPJS Dalam Rangka Peringatan Bulan K3N Kota Pekanbaru 2015 http://t.co/tjjdy1ItQh,
232,Wed Oct 04 16:55:07 +0000 2017,Waspadaâ¦ Rupanya Masih Banyak Obat dan Kosmetik Ilegal Dijual di Kota Pekanbaru https://t.co/5TR7Sy1Spe https://t.co/EjBgQVoZg9,
233,Fri Feb 09 04:13:05 +0000 2018,"Besok, Walikota Soft Launching RSUD Madani Kota Pekanbaru https://t.co/EwxlyQFkvJ https://t.co/y5YVUiejUT",
234,Wed Jan 08 14:33:00 +0000 2020,"@BPJSKesehatanRI mohon bantuannya
Ibu saya lince pakpahan, lahir Medan, 14 juni 1957. No kartu 0001301591643. Alamaâ¦ https://t.co/GgZsYXuCnp","@BPJSKesehatanRI mohon bantuannya
Ibu saya lince pakpahan, lahir Medan, 14 juni 1957. No kartu 0001301591643. Alamat Pekanbaru, Riau. Skarang lagi di UGD RS. Eka Hospital kota Pekanbaru, lg nunggu kamar seluruh RS yg ad di Pekanbaru yg bisa BPJS. Sudah 6 jam gak ada kamar."
235,Wed Jun 17 07:14:13 +0000 2015,Kota Pekanbaru Paling Banyak Terjangkit Penyakit Kelamin http://t.co/sv3WZoL2x9 - GagasanRiau,
236,Mon Sep 16 04:12:21 +0000 2019,"Kualitas Udara di Kota Pekanbaru pada Level Tidak Sehat

#beritaPKU 
https://t.co/YwcQfaG5rb",
237,Fri Jan 03 04:29:03 +0000 2020,"Rumah Sakit Jiwa (RSJ) Tampan di Kota Pekanbaru, Riau, dihebohkan dengan ditemukannya seorang pasien tewas diduga gâ¦ https://t.co/oz3pdhqcmc","Rumah Sakit Jiwa (RSJ) Tampan di Kota Pekanbaru, Riau, dihebohkan dengan ditemukannya seorang pasien tewas diduga gantung diri. https://t.co/D2OTeoqwIw"
238,Tue Oct 08 15:41:42 +0000 2019,"Inilah BIKIN SAKIT HATI dan AMARAH MEMBUNCAH usai bakar lahan, kemudian berubah jadi kebun sawit 
@GakkumKLHKâ¦ https://t.co/fT6x5jnRyC","Inilah BIKIN SAKIT HATI dan AMARAH MEMBUNCAH usai bakar lahan, kemudian berubah jadi kebun sawit 
@GakkumKLHK @DivHumas_Polri @jokowi @SitiNurbayaLHK 
https://t.co/BYnKd8m89O"
239,Thu Jun 19 14:05:53 +0000 2014,LPSE Pekanbaru â Contoh Proposal Pengadaan Barang Kantor untuk LPSE Kota Pekanbaru: Rehab berat puskesmas senapelanâ¦ http://t.co/CnAEVSfEa1,
240,Fri Jan 11 19:40:37 +0000 2013,Mengundang penyakit datang mendiami diri di pinggir sebuah jalan Kota Pekanbaru kota kenangan,
241,Fri Feb 07 02:40:08 +0000 2014,Dinkes Riau Bagikan 10 ribu Masker di Kota Pekanbaru http://t.co/YPIOXR0sUG,
242,Tue Jan 09 07:14:06 +0000 2018,Tes Kesehatan Paslon Pilkada Riau Bakal Lebih Detail: Tes kesehatan nantinya akan bekerja sama dengan Rumah Sakit Uâ¦ https://t.co/WeEY3SIwd0,Tes Kesehatan Paslon Pilkada Riau Bakal Lebih Detail: Tes kesehatan nantinya akan bekerja sama dengan Rumah Sakit Umum Daerah (RSUD) Arifin Achmad https://t.co/XE3NwKT8Iw https://t.co/rEvcNQwTEd
243,Tue Sep 10 01:12:13 +0000 2019,"Asap makin pekat di kota Pekanbaru, kepala sakit, tenggorokan kering dan gatal, mata merah, nafas sesak https://t.co/ve0VhFAohB",
244,Wed Feb 12 00:51:53 +0000 2014,At Puskesmas Limapuluh Kota Pekanbaru â https://t.co/SkGMqm2IfM,
245,Fri Aug 30 08:41:29 +0000 2013,"Cuaca Di Pekanbaru Tidak Sehat Akibat Kabut Asap: Pekanbaru, Riau
Kualitas udara di kota Pekanbaru, Riau semak... http://t.co/4BzXF78Rmb",
246,Sat Apr 27 09:01:03 +0000 2019,"HUT ke-55 Tahun, Rutan Bagansiapiapi dan Puskesmas MoU Penanganan HIV/Aids dan TB https://t.co/yq3gT36FKw https://t.co/bR6LodDPbH",
